id,name,token,country,is_ico,is_ieo,is_sto,ico_start,ico_end,price_usd,raised_usd,distributed_in_ico,sold_tokens,token_for_sale,whitelist,kyc,bonus,restricted_areas,min_investment,bounty,mvp,pre_ico_start,pre_ico_end,pre_ico_price_usd,platform,accepting,link_white_paper,linkedin_link,github_link,website,rating,teamsize,Coinmarketcap_identifier,ERC20,contract_address,Source
4368,Bit-Paradise,BPD,Saint Kitts and Nevis,1,0,0,2019-04-15,2019-04-25,0.02,,0.7,,50000000,No,0,0,,1000 USD,0,,,,,1,ETH,,,https://www.github.com/BitParadisegaming?tab=repositories,http://bitparadise.club/token/en?utm_source=icobench,2.4,,,1,,ICObench
4369,BitBounce,Credo,USA,1,0,0,2019-06-19,2019-06-22,7.4999999999999997E-2,11330707,0.4,,206000000,,0,0,,,0,,2019-05-08,2019-05-11,5.5E-2,0,ETH,https://bitbounce.io/whitepaper.pdf,,https://www.github.com/turinginc?tab=repositories,https://bitbounce.com?utm_source=icobench,2.4,1,,1,,ICObench
4370,BitDouble,BDBL,Georgia,1,0,0,2018-08-27,2018-11-15,0.25,,0.85,,32300000,Yes,1,0,,,0,,,,,0,,https://ico.bitdouble.casino/whitepaper.pdf,https://www.linkedin.com/company/bitecoin-network/,,https://ico.bitdouble.casino/?utm_source=icobench,2.4,,,0,,ICObench
4371,BiteCoin Network,BiteCoin,France,1,0,0,2018-07-12,2018-08-30,4.3E-3,,0.7,,4900000000,No,1,0,,1 ETH,0,,2018-05-06,2018-06-30,7.9231097399999999E-3,0,ETH,https://bitecoin.network/kbase/BiteCoin-Whitepaper-V1-2.pdf,https://www.linkedin.com/company/bitecoin-network/,,https://bitecoin.network?utm_source=icobench,2.8,7,,1,,ICObench
4372,BitherCash,BEC,United Arab Emirates,1,0,0,2017-12-05,2020-01-20,1.2,,0.75,,8250000,,0,0,,,0,,,,,0,ETH,https://bithercash.com/assets/whitepaper.pdf,https://www.linkedin.com/company/bithercash-official/,https://www.github.com/bithercash?tab=repositories,https://bithercash.com/?utm_source=icobench,2,,6677,1,,ICObench
4373,Bits Digit,BITSD,Belize,1,0,0,2017-08-01,2017-08-31,1.1766000000000001,,,,7000000,,0,0,,,0,,2017-07-25,2017-07-31,,0,,https://bitsdigit.com/Whitepaper_bitsdigit.pdf,https://www.linkedin.com/company/bitshares/,https://www.github.com/bitsdigit?tab=repositories,https://bitsdigit.com/?utm_source=icobench,2.4,2,,1,,ICObench
4374,Bitshares Media,BTSMD,Indonesia,1,0,0,2019-06-01,2019-07-01,3.56E-2,2600000,0.45826,,1650000000,Yes,1,0,,1000 USD,1,,2019-05-14,2019-06-01,1 BTSMD = 0.1 BTS,0,BTS,https://bitsharesmedia.com/white_pappers.pdf,,https://www.github.com/bitsharesmd?tab=repositories,https://bitsharesmedia.com?utm_source=icobench,2.4,,,0,,ICObench
4375,Bitsync,BITC,Japan,1,0,0,2017-11-11,2017-12-15,0.2,,0.45,,,,0,0,,0.5 ETH,0,,2017-11-01,2017-11-07,,0,ETH,http://www.bitsync.io/whitepaper.pdf,,,http://www.bitsync.io/home.php?utm_source=icobench,2.4,4,,1,,ICObench
4376,BlockFood,BFT Token,France,1,0,0,2018-03-08,2018-04-12,0.28489999999999999,,,,,Yes,1,0,,,0,,2018-01-08,2018-02-08,,1,ETH,https://whitepaper.blockfood.io,,https://www.github.com/BlockFood?tab=repositories,https://blockfood.io/?utm_source=icobench,2.4,,,1,,ICObench
4377,Blockstack,Blockstack Token,USA,1,0,0,2019-07-11,2019-09-09,0.3,52000000,,,880000000,,0,0,,,0,,,,,0,,https://blockstack.org/whitepaper.pdf,,https://www.github.com/blockstack?tab=repositories,https://stackstoken.com/?utm_source=icobench,2.7,,4847,0,,ICObench
