id;name;token;country;is_ico;is_ieo;is_sto;ico_start;ico_end;price_usd;raised_usd;distributed_in_ico;sold_tokens;token_for_sale;whitelist;kyc;bonus;restricted_areas;min_investment;bounty;mvp;pre_ico_start;pre_ico_end;pre_ico_price_usd;platform;accepting;link_white_paper;linkedin_link;github_link;website;rating;teamsize;Coinmarketcap_identifier;ERC20
5704;OATH Protocol;OATH;USA;0;1;0;2019-04-11;2019-04-11;5.0000000000000001E-3;NA;0.3;NA;3E+09;No;1;0;USA, China;NA;1;Available;NA;NA;NA;0;NA;https://www.oathprotocol.com/files/OATH-Whitepaper-EN.pdf;https://www.linkedin.com/company/oathprotocol/;https://www.github.com/OathsIO?tab=repositories;https://oaths.io/?utm_source=icobench;3.8;12;4567;1
5705;Blockcloud;BLOC;Unknown;0;1;0;2019-04-10;2019-04-10;5.0000000000000001E-3;15480000;0.05;NA;NA;NA;0;0;NA;1.145 USD;0;NA;NA;NA;NA;1;ETH, Fiat;https://www.block-cloud.io/blockcloudtechnicalwhitepaper.pdf;https://www.linkedin.com/company/blockcloudofficial/;None;https://www.block-cloud.io/index.shtml?utm_source=icobench;2.3;12;3860;1
5706;Link by BlockMason;BLINK;Unknown;0;1;0;2019-04-09;2019-04-09;5.4000000000000003E-3;NA;NA;NA;3E+07;NA;0;0;NA;1BLINK;0;NA;NA;NA;NA;0;ETH;https://blockmason.link/wp-content/uploads/2018/11/Blockmason_Link_Whitepaper.pdf;https://www.linkedin.com/company/blockmason-inc/;https://www.github.com/blockmason?tab=repositories;https://blockmason.link/#about?utm_source=icobench;3;NA;4089;1
5707;YellowBetter;YBT;Poland;0;1;0;2019-04-08;2019-04-09;2.24E-2;NA;0.75;NA;1.5e+09;No;1;0;USA, Canada, China, Singapore;50 EUR;1;Available;2018-06-17;2018-08-31;1.166466E-2;1;ETH, BTC, ETC, XRP, LSK, NEO;https://yellowbetter.com/Whitepaper_EN.pdf;NA;https://www.github.com/yellowBetter?tab=repositories;https://yellowbetter.com/?utm_source=icobench;3.9;10;NA;1
5708;Green Funding Coin;GFC;Japan;0;1;0;2019-04-02;2019-05-31;0.02;NA;0.54;NA;5.4e+09;No;0;0;NA;100 USD;0;NA;2019-01-01;2019-03-31;0.02;1;BTC, ETH, XRP, ADA, USD;https://gfp-coin.com/pdf/whitepaper_en.pdf;NA;https://www.github.com/NickGFP?tab=repositories;https://gfp-coin.com/?utm_source=icobench;3.4;3;NA;0
5709;Grabity;GBT;South Korea;0;1;0;2019-04-02;2019-04-02;5.3E-3;NA;0.7;NA;7E+09;Yes;1;0;USA, China, Canada;1 ETH;1;NA;2019-02-22;2019-04-18;NA;1;ETH;https://github.com/grabityorg/WhitePaper/blob/master/Eng.MD;https://www.linkedin.com/company/grabity/;https://www.github.com/GBTProtocol?tab=repositories;https://grabity.io/?utm_source=icobench;3.2;14;NA;1
5710;PUBLISH;NEWS;Unknown;0;1;0;2019-03-26;2019-03-30;0.01;NA;0.6;NA;3E+09;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;PROB, USDT, BTC, ETH, EOS;NA;https://www.linkedin.com/company/publish-inc/;None;https://publishprotocol.io/?utm_source=icobench;2.9;34;4647;1
5711;Kronn;KREX;Switzerland;0;1;0;2019-03-22;2019-03-25;0.22;NA;NA;NA;NA;No;1;0;US/CHINA;NA;0;NA;NA;NA;NA;0;NA;https://kronn.net/file/Whitepaper%20v2.0.pdf;NA;None;https://kronn.net?utm_source=icobench;2;6;NA;1
5712;WeGen;WGC;South Korea;0;1;0;2019-03-18;2019-03-27;1.4E-2;NA;0.3;NA;4.5e+09;NA;0;0;NA;NA;0;NA;NA;NA;NA;1;PROB, USDT, BTC, ETH, XRP;https://www.wegen.io/files/Wegen_Whitepaper_V2.5_English.pdf;https://www.linkedin.com/in/wegen-platform-b4bb81172/;None;http://wegen.io/?utm_source=icobench;2.8;NA;NA;1
5713;XTock;XTX;Hong Kong;0;1;0;2019-03-15;2019-03-15;0.05;NA;0.4;NA;NA;Yes;1;0;USA, China, UK;NA;0;NA;NA;NA;NA;1;BTC, ETH, BCH, ETC, ADA;https://xtock.io/resources/paper/Xtock_whitePaper_en_Ver1.0.pdf;https://www.linkedin.com/company/xtock/;None;https://xtock.io/?utm_source=icobench;2.2;NA;3844;1
